AMKA,Role,Office,DepartmentID
10000000840,Secretary,FrontDesk,1
10000000841,Accountant,Billing,1
10000000842,Registrar,Records,1
10000000843,Archivist,Scheduling,1
10000000844,BillingOfficer,HR,1
10000000845,HRClerk,Admissions,1
10000000846,Scheduler,WardDesk,1
10000000847,RecordsClerk,BackOffice,1
10000000848,Secretary,FrontDesk,1
10000000849,Accountant,Billing,1
10000000850,Registrar,Records,1
10000000851,Archivist,Scheduling,1
10000000852,Secretary,FrontDesk,2
10000000853,Accountant,Billing,2
10000000854,Registrar,Records,2
10000000855,Archivist,Scheduling,2
10000000856,BillingOfficer,HR,2
10000000857,HRClerk,Admissions,2
10000000858,Scheduler,WardDesk,2
10000000859,RecordsClerk,BackOffice,2
10000000860,Secretary,FrontDesk,2
10000000861,Accountant,Billing,2
10000000862,Registrar,Records,2
10000000863,Archivist,Scheduling,2
10000000864,Secretary,FrontDesk,3
10000000865,Accountant,Billing,3
10000000866,Registrar,Records,3
10000000867,Archivist,Scheduling,3
10000000868,BillingOfficer,HR,3
10000000869,HRClerk,Admissions,3
10000000870,Scheduler,WardDesk,3
10000000871,RecordsClerk,BackOffice,3
10000000872,Secretary,FrontDesk,3
10000000873,Accountant,Billing,3
10000000874,Registrar,Records,3
10000000875,Archivist,Scheduling,3
10000000876,Secretary,FrontDesk,4
10000000877,Accountant,Billing,4
10000000878,Registrar,Records,4
10000000879,Archivist,Scheduling,4
10000000880,BillingOfficer,HR,4
10000000881,HRClerk,Admissions,4
10000000882,Scheduler,WardDesk,4
10000000883,RecordsClerk,BackOffice,4
10000000884,Secretary,FrontDesk,4
10000000885,Accountant,Billing,4
10000000886,Registrar,Records,4
10000000887,Archivist,Scheduling,4
10000000888,Secretary,FrontDesk,5
10000000889,Accountant,Billing,5
10000000890,Registrar,Records,5
10000000891,Archivist,Scheduling,5
10000000892,BillingOfficer,HR,5
10000000893,HRClerk,Admissions,5
10000000894,Scheduler,WardDesk,5
10000000895,RecordsClerk,BackOffice,5
10000000896,Secretary,FrontDesk,5
10000000897,Accountant,Billing,5
10000000898,Registrar,Records,5
10000000899,Archivist,Scheduling,5
10000000900,Secretary,FrontDesk,6
10000000901,Accountant,Billing,6
10000000902,Registrar,Records,6
10000000903,Archivist,Scheduling,6
10000000904,BillingOfficer,HR,6
10000000905,HRClerk,Admissions,6
10000000906,Scheduler,WardDesk,6
10000000907,RecordsClerk,BackOffice,6
10000000908,Secretary,FrontDesk,6
10000000909,Accountant,Billing,6
10000000910,Registrar,Records,6
10000000911,Archivist,Scheduling,6
10000000912,Secretary,FrontDesk,7
10000000913,Accountant,Billing,7
10000000914,Registrar,Records,7
10000000915,Archivist,Scheduling,7
10000000916,BillingOfficer,HR,7
10000000917,HRClerk,Admissions,7
10000000918,Scheduler,WardDesk,7
10000000919,RecordsClerk,BackOffice,7
10000000920,Secretary,FrontDesk,7
10000000921,Accountant,Billing,7
10000000922,Registrar,Records,7
10000000923,Archivist,Scheduling,7
10000000924,Secretary,FrontDesk,8
10000000925,Accountant,Billing,8
10000000926,Registrar,Records,8
10000000927,Archivist,Scheduling,8
10000000928,BillingOfficer,HR,8
10000000929,HRClerk,Admissions,8
10000000930,Scheduler,WardDesk,8
10000000931,RecordsClerk,BackOffice,8
10000000932,Secretary,FrontDesk,8
10000000933,Accountant,Billing,8
10000000934,Registrar,Records,8
10000000935,Archivist,Scheduling,8
10000000936,Secretary,FrontDesk,9
10000000937,Accountant,Billing,9
10000000938,Registrar,Records,9
10000000939,Archivist,Scheduling,9
10000000940,BillingOfficer,HR,9
10000000941,HRClerk,Admissions,9
10000000942,Scheduler,WardDesk,9
10000000943,RecordsClerk,BackOffice,9
10000000944,Secretary,FrontDesk,9
10000000945,Accountant,Billing,9
10000000946,Registrar,Records,9
10000000947,Archivist,Scheduling,9
10000000948,Secretary,FrontDesk,10
10000000949,Accountant,Billing,10
10000000950,Registrar,Records,10
10000000951,Archivist,Scheduling,10
