AMKA,License,Specialty,Rank,SupervisorAMKA
10000000000,LIC01000000,Cardiology,Director,
10000000001,LIC01010001,Cardiology,Consultant,10000000000
10000000002,LIC01020002,Cardiology,Resident,10000000003
10000000003,LIC01030003,Cardiology,Consultant,10000000000
10000000004,LIC01040004,Cardiology,Registrar,10000000000
10000000005,LIC01050005,Cardiology,Resident,10000000007
10000000006,LIC01060006,Cardiology,Consultant,10000000000
10000000007,LIC01070007,Cardiology,Registrar,10000000000
10000000008,LIC01080008,Cardiology,Resident,10000000007
10000000009,LIC01090009,Cardiology,Consultant,10000000000
10000000010,LIC01100010,Cardiology,Registrar,10000000000
10000000011,LIC01110011,Cardiology,Resident,10000000017
10000000012,LIC01120012,Cardiology,Consultant,10000000000
10000000013,LIC01130013,Cardiology,Registrar,10000000000
10000000014,LIC01140014,Cardiology,Consultant,10000000000
10000000015,LIC01150015,Cardiology,Resident,10000000001
10000000016,LIC01160016,Cardiology,Consultant,10000000000
10000000017,LIC01170017,Cardiology,Registrar,10000000000
10000000018,LIC01180018,Cardiology,Consultant,10000000000
10000000019,LIC01190019,Cardiology,Resident,10000000007
10000000020,LIC02000020,Surgery,Director,
10000000021,LIC02010021,Surgery,Consultant,10000000020
10000000022,LIC02020022,Surgery,Resident,10000000030
10000000023,LIC02030023,Surgery,Consultant,10000000020
10000000024,LIC02040024,Surgery,Registrar,10000000020
10000000025,LIC02050025,Surgery,Resident,10000000037
10000000026,LIC02060026,Surgery,Consultant,10000000020
10000000027,LIC02070027,Surgery,Registrar,10000000020
10000000028,LIC02080028,Surgery,Resident,10000000030
10000000029,LIC02090029,Surgery,Consultant,10000000020
10000000030,LIC02100030,Surgery,Registrar,10000000020
10000000031,LIC02110031,Surgery,Resident,10000000023
10000000032,LIC02120032,Surgery,Consultant,10000000020
10000000033,LIC02130033,Surgery,Registrar,10000000020
10000000034,LIC02140034,Surgery,Consultant,10000000020
10000000035,LIC02150035,Surgery,Resident,10000000033
10000000036,LIC02160036,Surgery,Consultant,10000000020
10000000037,LIC02170037,Surgery,Registrar,10000000020
10000000038,LIC02180038,Surgery,Consultant,10000000020
10000000039,LIC02190039,Surgery,Resident,10000000029
10000000040,LIC03000040,IntensiveCare,Director,
10000000041,LIC03010041,IntensiveCare,Consultant,10000000040
10000000042,LIC03020042,IntensiveCare,Resident,10000000056
10000000043,LIC03030043,IntensiveCare,Consultant,10000000040
10000000044,LIC03040044,IntensiveCare,Registrar,10000000040
10000000045,LIC03050045,IntensiveCare,Resident,10000000052
10000000046,LIC03060046,IntensiveCare,Consultant,10000000040
10000000047,LIC03070047,IntensiveCare,Registrar,10000000040
10000000048,LIC03080048,IntensiveCare,Resident,10000000050
10000000049,LIC03090049,IntensiveCare,Consultant,10000000040
10000000050,LIC03100050,IntensiveCare,Registrar,10000000040
10000000051,LIC03110051,IntensiveCare,Resident,10000000052
10000000052,LIC03120052,IntensiveCare,Consultant,10000000040
10000000053,LIC03130053,IntensiveCare,Registrar,10000000040
10000000054,LIC03140054,IntensiveCare,Consultant,10000000040
10000000055,LIC03150055,IntensiveCare,Resident,10000000057
10000000056,LIC03160056,IntensiveCare,Consultant,10000000040
10000000057,LIC03170057,IntensiveCare,Registrar,10000000040
10000000058,LIC03180058,IntensiveCare,Consultant,10000000040
10000000059,LIC03190059,IntensiveCare,Resident,10000000057
10000000060,LIC04000060,EmergencyMed,Director,
10000000061,LIC04010061,EmergencyMed,Consultant,10000000060
10000000062,LIC04020062,EmergencyMed,Resident,10000000061
10000000063,LIC04030063,EmergencyMed,Consultant,10000000060
10000000064,LIC04040064,EmergencyMed,Registrar,10000000060
