ImageID,ImageURL,ImageDescription,ProcRoomId,StaffAMKA,DepartmentID,RoomID,RoomDepartmentID
1,https://example.org/hospital/images/0001.jpg,Cardiology department image,,,1,,
2,https://example.org/hospital/images/0002.jpg,Surgery department image,,,2,,
3,https://example.org/hospital/images/0003.jpg,ICU department image,,,3,,
4,https://example.org/hospital/images/0004.jpg,Emergency department image,,,4,,
5,https://example.org/hospital/images/0005.jpg,Neurology department image,,,5,,
6,https://example.org/hospital/images/0006.jpg,Orthopedics department image,,,6,,
7,https://example.org/hospital/images/0007.jpg,Pulmonology department image,,,7,,
8,https://example.org/hospital/images/0008.jpg,Gastroenterology department image,,,8,,
9,https://example.org/hospital/images/0009.jpg,Oncology department image,,,9,,
10,https://example.org/hospital/images/0010.jpg,Pediatrics department image,,,10,,
11,https://example.org/hospital/images/0011.jpg,Ophthalmology department image,,,11,,
12,https://example.org/hospital/images/0012.jpg,ENT department image,,,12,,
13,https://example.org/hospital/images/0013.jpg,Nephrology department image,,,13,,
14,https://example.org/hospital/images/0014.jpg,Psychiatry department image,,,14,,
15,https://example.org/hospital/images/0015.jpg,Internal Medicine department image,,,15,,
16,https://example.org/hospital/images/0016.jpg,Staff portrait for Marios Pavlidis,,10000000000,,,
17,https://example.org/hospital/images/0017.jpg,Staff portrait for Panagiota Petrou,,10000000001,,,
18,https://example.org/hospital/images/0018.jpg,Staff portrait for Eleni Theodorou,,10000000002,,,
19,https://example.org/hospital/images/0019.jpg,Staff portrait for Nikos Konstantinou,,10000000003,,,
20,https://example.org/hospital/images/0020.jpg,Staff portrait for Marios Theodorou,,10000000004,,,
21,https://example.org/hospital/images/0021.jpg,Staff portrait for Petros Alexiou,,10000000005,,,
22,https://example.org/hospital/images/0022.jpg,Staff portrait for Evangelia Vasiliou,,10000000006,,,
23,https://example.org/hospital/images/0023.jpg,Staff portrait for Sofia Athanasiou,,10000000007,,,
24,https://example.org/hospital/images/0024.jpg,Staff portrait for Panagiota Georgiou,,10000000008,,,
25,https://example.org/hospital/images/0025.jpg,Staff portrait for Dimitris Athanasiou,,10000000009,,,
26,https://example.org/hospital/images/0026.jpg,Staff portrait for Michalis Kostopoulos,,10000000010,,,
27,https://example.org/hospital/images/0027.jpg,Staff portrait for Georgia Sotiriou,,10000000011,,,
28,https://example.org/hospital/images/0028.jpg,Staff portrait for Eleni Kostopoulos,,10000000012,,,
29,https://example.org/hospital/images/0029.jpg,Staff portrait for Dimitra Lazarou,,10000000013,,,
30,https://example.org/hospital/images/0030.jpg,Staff portrait for Vasilis Athanasiou,,10000000014,,,
31,https://example.org/hospital/images/0031.jpg,Staff portrait for Vasiliki Athanasiou,,10000000015,,,
32,https://example.org/hospital/images/0032.jpg,Staff portrait for Dimitris Kostopoulos,,10000000016,,,
33,https://example.org/hospital/images/0033.jpg,Staff portrait for Stavros Alexiou,,10000000017,,,
34,https://example.org/hospital/images/0034.jpg,Staff portrait for Spyros Lazarou,,10000000018,,,
35,https://example.org/hospital/images/0035.jpg,Staff portrait for Michalis Nikolaou,,10000000019,,,
36,https://example.org/hospital/images/0036.jpg,Staff portrait for Georgia Sotiriou,,10000000020,,,
37,https://example.org/hospital/images/0037.jpg,Staff portrait for Ioanna Lazarou,,10000000021,,,
38,https://example.org/hospital/images/0038.jpg,Staff portrait for Giorgos Nikolaou,,10000000022,,,
39,https://example.org/hospital/images/0039.jpg,Staff portrait for Panagiotis Ioannou,,10000000023,,,
40,https://example.org/hospital/images/0040.jpg,Staff portrait for Eleni Ioannou,,10000000024,,,
41,https://example.org/hospital/images/0041.jpg,Staff portrait for Vasilis Ioannou,,10000000025,,,
42,https://example.org/hospital/images/0042.jpg,Staff portrait for Sofia Lazarou,,10000000026,,,
43,https://example.org/hospital/images/0043.jpg,Staff portrait for Petros Theodorou,,10000000027,,,
44,https://example.org/hospital/images/0044.jpg,Staff portrait for Marios Alexiou,,10000000028,,,
45,https://example.org/hospital/images/0045.jpg,Staff portrait for Michalis Lazarou,,10000000029,,,
46,https://example.org/hospital/images/0046.jpg,Staff portrait for Spyros Nikolaou,,10000000030,,,
47,https://example.org/hospital/images/0047.jpg,Staff portrait for Michalis Konstantinou,,10000000031,,,
48,https://example.org/hospital/images/0048.jpg,Staff portrait for Christos Pavlidis,,10000000032,,,
49,https://example.org/hospital/images/0049.jpg,Staff portrait for Giannis Athanasiou,,10000000033,,,
50,https://example.org/hospital/images/0050.jpg,Staff portrait for Sofia Ioannou,,10000000034,,,
51,https://example.org/hospital/images/0051.jpg,Staff portrait for Vasilis Vasiliou,,10000000035,,,
52,https://example.org/hospital/images/0052.jpg,Staff portrait for Vasiliki Petrou,,10000000036,,,
53,https://example.org/hospital/images/0053.jpg,Staff portrait for Ioanna Pavlidis,,10000000037,,,
54,https://example.org/hospital/images/0054.jpg,Staff portrait for Natalia Sotiriou,,10000000038,,,
55,https://example.org/hospital/images/0055.jpg,Staff portrait for Anna Kostopoulos,,10000000039,,,
56,https://example.org/hospital/images/0056.jpg,Staff portrait for Andreas Athanasiou,,10000000040,,,
57,https://example.org/hospital/images/0057.jpg,Staff portrait for Marios Vasiliou,,10000000041,,,
58,https://example.org/hospital/images/0058.jpg,Staff portrait for Kostas Dimitriou,,10000000042,,,
59,https://example.org/hospital/images/0059.jpg,Staff portrait for Sofia Nikolaou,,10000000043,,,
60,https://example.org/hospital/images/0060.jpg,Staff portrait for Marios Ioannou,,10000000044,,,
61,https://example.org/hospital/images/0061.jpg,Staff portrait for Dimitris Petrou,,10000000045,,,
62,https://example.org/hospital/images/0062.jpg,Staff portrait for Andreas Nikolaou,,10000000046,,,
63,https://example.org/hospital/images/0063.jpg,Staff portrait for Giannis Kostopoulos,,10000000047,,,
