AMKA,Rank,DepartmentID
10000000300,HeadNurse,1
10000000301,AssistantNurse,1
10000000302,AssistantNurse,1
10000000303,AssistantNurse,1
10000000304,AssistantNurse,1
10000000305,AssistantNurse,1
10000000306,AssistantNurse,1
10000000307,AssistantNurse,1
10000000308,AssistantNurse,1
10000000309,Nurse,1
10000000310,Nurse,1
10000000311,Nurse,1
10000000312,Nurse,1
10000000313,Nurse,1
10000000314,Nurse,1
10000000315,Nurse,1
10000000316,Nurse,1
10000000317,Nurse,1
10000000318,Nurse,1
10000000319,Nurse,1
10000000320,Nurse,1
10000000321,Nurse,1
10000000322,Nurse,1
10000000323,Nurse,1
10000000324,Nurse,1
10000000325,Nurse,1
10000000326,Nurse,1
10000000327,Nurse,1
10000000328,Nurse,1
10000000329,Nurse,1
10000000330,Nurse,1
10000000331,Nurse,1
10000000332,Nurse,1
10000000333,Nurse,1
10000000334,Nurse,1
10000000335,Nurse,1
10000000336,HeadNurse,2
10000000337,AssistantNurse,2
10000000338,AssistantNurse,2
10000000339,AssistantNurse,2
10000000340,AssistantNurse,2
10000000341,AssistantNurse,2
10000000342,AssistantNurse,2
10000000343,AssistantNurse,2
10000000344,AssistantNurse,2
10000000345,Nurse,2
10000000346,Nurse,2
10000000347,Nurse,2
10000000348,Nurse,2
10000000349,Nurse,2
10000000350,Nurse,2
10000000351,Nurse,2
10000000352,Nurse,2
10000000353,Nurse,2
10000000354,Nurse,2
10000000355,Nurse,2
10000000356,Nurse,2
10000000357,Nurse,2
10000000358,Nurse,2
10000000359,Nurse,2
10000000360,Nurse,2
10000000361,Nurse,2
10000000362,Nurse,2
10000000363,Nurse,2
10000000364,Nurse,2
10000000365,Nurse,2
10000000366,Nurse,2
10000000367,Nurse,2
10000000368,Nurse,2
10000000369,Nurse,2
10000000370,Nurse,2
10000000371,Nurse,2
10000000372,HeadNurse,3
10000000373,AssistantNurse,3
10000000374,AssistantNurse,3
10000000375,AssistantNurse,3
10000000376,AssistantNurse,3
10000000377,AssistantNurse,3
10000000378,AssistantNurse,3
10000000379,AssistantNurse,3
10000000380,AssistantNurse,3
10000000381,Nurse,3
10000000382,Nurse,3
10000000383,Nurse,3
10000000384,Nurse,3
10000000385,Nurse,3
10000000386,Nurse,3
10000000387,Nurse,3
10000000388,Nurse,3
10000000389,Nurse,3
10000000390,Nurse,3
10000000391,Nurse,3
10000000392,Nurse,3
10000000393,Nurse,3
10000000394,Nurse,3
10000000395,Nurse,3
10000000396,Nurse,3
10000000397,Nurse,3
10000000398,Nurse,3
10000000399,Nurse,3
10000000400,Nurse,3
10000000401,Nurse,3
10000000402,Nurse,3
10000000403,Nurse,3
10000000404,Nurse,3
10000000405,Nurse,3
10000000406,Nurse,3
10000000407,Nurse,3
10000000408,HeadNurse,4
10000000409,AssistantNurse,4
10000000410,AssistantNurse,4
10000000411,AssistantNurse,4
10000000412,AssistantNurse,4
10000000413,AssistantNurse,4
10000000414,AssistantNurse,4
10000000415,AssistantNurse,4
10000000416,AssistantNurse,4
10000000417,Nurse,4
10000000418,Nurse,4
10000000419,Nurse,4
10000000420,Nurse,4
10000000421,Nurse,4
10000000422,Nurse,4
10000000423,Nurse,4
10000000424,Nurse,4
10000000425,Nurse,4
10000000426,Nurse,4
10000000427,Nurse,4
10000000428,Nurse,4
10000000429,Nurse,4
10000000430,Nurse,4
10000000431,Nurse,4
10000000432,Nurse,4
10000000433,Nurse,4
10000000434,Nurse,4
10000000435,Nurse,4
10000000436,Nurse,4
10000000437,Nurse,4
10000000438,Nurse,4
10000000439,Nurse,4
10000000440,Nurse,4
10000000441,Nurse,4
10000000442,Nurse,4
10000000443,Nurse,4
10000000444,HeadNurse,5
10000000445,AssistantNurse,5
10000000446,AssistantNurse,5
10000000447,AssistantNurse,5
10000000448,AssistantNurse,5
10000000449,AssistantNurse,5
10000000450,AssistantNurse,5
10000000451,AssistantNurse,5
10000000452,AssistantNurse,5
10000000453,Nurse,5
10000000454,Nurse,5
10000000455,Nurse,5
10000000456,Nurse,5
10000000457,Nurse,5
10000000458,Nurse,5
10000000459,Nurse,5
10000000460,Nurse,5
10000000461,Nurse,5
10000000462,Nurse,5
10000000463,Nurse,5
10000000464,Nurse,5
10000000465,Nurse,5
10000000466,Nurse,5
10000000467,Nurse,5
10000000468,Nurse,5
10000000469,Nurse,5
10000000470,Nurse,5
10000000471,Nurse,5
10000000472,Nurse,5
10000000473,Nurse,5
10000000474,Nurse,5
10000000475,Nurse,5
10000000476,Nurse,5
10000000477,Nurse,5
10000000478,Nurse,5
10000000479,Nurse,5
10000000480,HeadNurse,6
10000000481,AssistantNurse,6
10000000482,AssistantNurse,6
10000000483,AssistantNurse,6
10000000484,AssistantNurse,6
10000000485,AssistantNurse,6
10000000486,AssistantNurse,6
10000000487,AssistantNurse,6
10000000488,AssistantNurse,6
10000000489,Nurse,6
10000000490,Nurse,6
10000000491,Nurse,6
10000000492,Nurse,6
10000000493,Nurse,6
10000000494,Nurse,6
10000000495,Nurse,6
10000000496,Nurse,6
10000000497,Nurse,6
10000000498,Nurse,6
10000000499,Nurse,6
10000000500,Nurse,6
10000000501,Nurse,6
10000000502,Nurse,6
10000000503,Nurse,6
10000000504,Nurse,6
10000000505,Nurse,6
10000000506,Nurse,6
10000000507,Nurse,6
10000000508,Nurse,6
10000000509,Nurse,6
10000000510,Nurse,6
10000000511,Nurse,6
10000000512,Nurse,6
10000000513,Nurse,6
10000000514,Nurse,6
10000000515,Nurse,6
10000000516,HeadNurse,7
10000000517,AssistantNurse,7
10000000518,AssistantNurse,7
