PatientAMKA,Phone
30000000000,6906480108
30000000001,6987790118
30000000002,6913879836
30000000003,6984521441
30000000004,6942406949
30000000005,6941930054
30000000006,6943150173
30000000007,6931709787
30000000008,6926166530
30000000009,6961948972
30000000010,6948962683
30000000011,6914681450
30000000012,6918745180
30000000013,6911428149
30000000014,6940431640
30000000015,6923385057
30000000016,6956206704
30000000017,6971424663
30000000018,6925736502
30000000019,6920872115
30000000020,6970249020
30000000021,6956777210
30000000022,6915520004
30000000023,6950376024
30000000024,6971706479
30000000025,6929048006
30000000026,6904185858
30000000027,6901580328
30000000028,6973962645
30000000029,6989745449
30000000030,6933817150
30000000031,6984828039
30000000032,6945134280
30000000033,6913091895
30000000034,6970799842
30000000035,6919774985
30000000036,6915602835
30000000037,6973154491
30000000038,6931433296
30000000039,6937162448
30000000040,6926515151
30000000041,6953481711
30000000042,6991286463
30000000043,6934886461
30000000044,6980791810
30000000045,6938939353
30000000046,6981093294
30000000047,6913863092
30000000048,6941919255
30000000049,6947240837
30000000050,6942348084
30000000051,6943998964
30000000052,6915137375
30000000053,6932610672
30000000054,6983249271
30000000055,6918771847
30000000056,6902263374
30000000057,6952174001
30000000058,6938242010
30000000059,6903571154
30000000060,6974241113
30000000061,6926025864
30000000062,6919761532
30000000063,6979329415
30000000064,6944422972
30000000065,6961866576
30000000066,6975630731
30000000067,6900722941
30000000068,6995828764
30000000069,6906945254
30000000070,6957275418
30000000071,6904760397
30000000072,6962001828
30000000073,6977083513
30000000074,6980922855
30000000075,6918126083
30000000076,6901739002
30000000077,6981594458
30000000078,6900777750
30000000079,6989877480
30000000080,6992113321
30000000081,6976773826
30000000082,6977243618
30000000083,6938885492
30000000084,6921579486
30000000085,6937214294
30000000086,6924548159
30000000087,6938073179
30000000088,6970463957
30000000089,6934071815
30000000090,6915813619
30000000091,6988649186
30000000092,6955040590
30000000093,6969957192
30000000094,6949480065
30000000095,6937111759
30000000096,6943560592
30000000097,6902914399
30000000098,6955630533
30000000099,6944509464
30000000100,6994756540
30000000101,6911700517
30000000102,6955491721
30000000103,6907576023
30000000104,6969669993
30000000105,6921062820
30000000106,6906868930
30000000107,6955361088
30000000108,6939360373
30000000109,6977969372
30000000110,6953085861
30000000111,6971195591
30000000112,6961196947
30000000113,6900931372
30000000114,6944258167
30000000115,6926893526
30000000116,6938295647
30000000117,6927396066
30000000118,6947872221
30000000119,6932322020
30000000120,6937513105
30000000121,6901883354
30000000122,6999488032
30000000123,6934645553
30000000124,6995951312
30000000125,6941553293
30000000126,6937747022
30000000127,6961843884
30000000128,6910623958
30000000129,6964758743
30000000130,6957618417
30000000131,6928157489
30000000132,6951609142
30000000133,6954368105
30000000134,6991449427
30000000135,6947817269
30000000136,6903723508
30000000137,6989220522
30000000138,6938368073
30000000139,6995378118
30000000140,6903427532
30000000141,6963737908
30000000142,6985519353
30000000143,6957199737
30000000144,6968731945
30000000145,6993803081
30000000146,6943784382
30000000147,6916700155
30000000148,6948232460
30000000149,6957860130
30000000150,6915020166
30000000151,6914541772
30000000152,6990625161
30000000153,6926086250
30000000154,6979247882
30000000155,6943359411
30000000156,6933007700
30000000157,6909122580
30000000158,6913270054
30000000159,6955128437
30000000160,6986327286
30000000161,6938011998
30000000162,6946141699
30000000163,6976071285
30000000164,6959799798
30000000165,6975404228
30000000166,6934703079
30000000167,6957116588
30000000168,6916335654
30000000169,6953594381
30000000170,6976338498
30000000171,6950507278
30000000172,6909724595
30000000173,6998735240
30000000174,6960103871
30000000175,6940681097
30000000176,6933609706
30000000177,6983955896
30000000178,6955432298
30000000179,6919448026
30000000180,6982199327
30000000181,6942312809
30000000182,6927778868
30000000183,6926741929
30000000184,6902517236
30000000185,6967596436
30000000186,6929915135
30000000187,6935407336
30000000188,6934600542
30000000189,6945102114
30000000190,6937327447
30000000191,6988143082
30000000192,6946047316
30000000193,6977915232
30000000194,6986063591
30000000195,6954714411
30000000196,6938028507
30000000197,6904291934
30000000198,6973395123
30000000199,6972046538
30000000200,6923473109
30000000201,6915482786
30000000202,6902850501
30000000203,6984748676
30000000204,6987860724
30000000205,6977014308
30000000206,6925234129
30000000207,6997946115
30000000208,6924809190
30000000209,6983800866
30000000210,6938316523
30000000211,6911409551
30000000212,6978203998
30000000213,6903772623
30000000214,6968841239
30000000215,6971689651
30000000216,6964894156
30000000217,6922813367
30000000218,6941205615
30000000219,6901277092
30000000220,6943603931
30000000221,6942567155
30000000222,6924885974
30000000223,6902200653
30000000224,6945879178
30000000225,6933951640
30000000226,6973891343
30000000227,6918158972
30000000228,6943089494
30000000229,6967682115
