StaffAMK,Phone
10000000000,6910523152
10000000001,6987676027
10000000002,6938420827
10000000003,6957041969
10000000004,6998745618
10000000005,6966136379
10000000006,6945620346
10000000007,6968765779
10000000008,6905584819
10000000009,6921526157
10000000010,6983167457
10000000011,6930596884
10000000012,6949905955
10000000013,6936578085
10000000014,6981736618
10000000015,6934803789
10000000016,6910763288
10000000017,6999685633
10000000018,6964096282
10000000019,6908008470
10000000020,6978111962
10000000021,6996905521
10000000022,6970298831
10000000023,6911776773
10000000024,6900776971
10000000025,6976831361
10000000026,6996173669
10000000027,6952566453
10000000028,6969774051
10000000029,6982782556
10000000030,6954195922
10000000031,6999879628
10000000032,6946083477
10000000033,6951754204
10000000034,6987970568
10000000035,6957270460
10000000036,6908608905
10000000037,6919310340
10000000038,6921356662
10000000039,6934995356
10000000040,6990239259
10000000041,6958367604
10000000042,6962093099
10000000043,6925352013
10000000044,6927045355
10000000045,6903205434
10000000046,6985724568
10000000047,6938985983
10000000048,6916371048
10000000049,6957867293
10000000050,6935572768
10000000051,6962035584
10000000052,6920977004
10000000053,6954857880
10000000054,6942833863
10000000055,6919472534
10000000056,6961915098
10000000057,6959569399
10000000058,6972973901
10000000059,6980202101
10000000060,6951253623
10000000061,6916411767
10000000062,6954808058
10000000063,6983991713
10000000064,6952503600
10000000065,6960600121
10000000066,6904715354
10000000067,6966378736
10000000068,6913327150
10000000069,6929730380
10000000070,6927962028
10000000071,6937100238
10000000072,6919921695
10000000073,6982574721
10000000074,6902451232
10000000075,6984668975
10000000076,6945239472
10000000077,6969225374
10000000078,6929481234
10000000079,6985244763
10000000080,6929004879
10000000081,6969875147
10000000082,6948138417
10000000083,6994837283
10000000084,6986395825
10000000085,6913368638
10000000086,6936910178
10000000087,6917298370
10000000088,6935434368
10000000089,6968143768
10000000090,6970988908
10000000091,6949976767
10000000092,6906247215
10000000093,6902668646
10000000094,6994552368
10000000095,6907095731
10000000096,6937631714
10000000097,6991684295
10000000098,6943344043
10000000099,6948394299
10000000100,6927179745
10000000101,6988542522
10000000102,6906883037
10000000103,6966769597
10000000104,6998141042
10000000105,6941321288
10000000106,6959462699
10000000107,6900606903
10000000108,6965685433
10000000109,6985514460
10000000110,6902324215
10000000111,6934907061
10000000112,6955648219
10000000113,6974126616
10000000114,6994633516
10000000115,6962808868
10000000116,6999902979
10000000117,6998114580
10000000118,6943638675
10000000119,6975267866
10000000120,6988634606
10000000121,6915953352
10000000122,6988769237
10000000123,6907240949
10000000124,6931732896
10000000125,6913070222
10000000126,6959226370
10000000127,6936743270
10000000128,6933898647
10000000129,6961826569
10000000130,6908789492
10000000131,6976828484
10000000132,6924857648
10000000133,6940922585
10000000134,6900561689
10000000135,6944306986
10000000136,6969575796
10000000137,6920150051
10000000138,6981572571
10000000139,6960328187
10000000140,6908549402
10000000141,6942023329
10000000142,6916831296
10000000143,6948011547
10000000144,6917168565
10000000145,6903700248
10000000146,6934162796
10000000147,6996276517
10000000148,6944261508
10000000149,6950103143
10000000150,6960910295
10000000151,6911609933
10000000152,6912581476
10000000153,6997724880
10000000154,6946195411
10000000155,6970468060
10000000156,6968136955
