amka	firstname	lastname	totalproc
10000000000	Marios	Pavlidis	5
10000000001	Panagiota	Petrou	1
10000000002	Eleni	Theodorou	5
10000000003	Nikos	Konstantinou	3
10000000004	Marios	Theodorou	5
10000000005	Petros	Alexiou	4
10000000007	Sofia	Athanasiou	3
10000000009	Dimitris	Athanasiou	1
10000000010	Michalis	Kostopoulos	3
10000000012	Eleni	Kostopoulos	3
10000000013	Dimitra	Lazarou	3
10000000014	Vasilis	Athanasiou	0
10000000015	Vasiliki	Athanasiou	5
10000000016	Dimitris	Kostopoulos	2
10000000017	Stavros	Alexiou	0
10000000018	Spyros	Lazarou	2
10000000020	Georgia	Sotiriou	6
10000000021	Ioanna	Lazarou	1
10000000022	Giorgos	Nikolaou	4
10000000023	Panagiotis	Ioannou	5
10000000025	Vasilis	Ioannou	3
10000000026	Sofia	Lazarou	5
10000000027	Petros	Theodorou	5
10000000028	Marios	Alexiou	5
10000000029	Michalis	Lazarou	3
10000000030	Spyros	Nikolaou	2
10000000032	Christos	Pavlidis	1
10000000033	Giannis	Athanasiou	4
10000000034	Sofia	Ioannou	5
10000000035	Vasilis	Vasiliou	6
10000000036	Vasiliki	Petrou	2
10000000037	Ioanna	Pavlidis	3
10000000038	Natalia	Sotiriou	3
10000000039	Anna	Kostopoulos	6
10000000040	Andreas	Athanasiou	2
10000000041	Marios	Vasiliou	3
10000000042	Kostas	Dimitriou	3
10000000043	Sofia	Nikolaou	2
10000000044	Marios	Ioannou	4
10000000045	Dimitris	Petrou	2
10000000046	Andreas	Nikolaou	6
10000000047	Giannis	Kostopoulos	0
10000000048	Andreas	Vasiliou	4
10000000050	Katerina	Nikolaou	4
10000000051	Vasilis	Petrou	4
10000000052	Michalis	Petrou	2
10000000053	Sofia	Kostopoulos	0
10000000054	Vasiliki	Petrou	4
10000000055	Chrysa	Papadopoulos	4
10000000056	Natalia	Konstantinou	2
10000000057	Chrysa	Lazarou	5
10000000058	Dimitra	Dimitriou	2
10000000060	Sofia	Alexiou	2
10000000061	Maria	Pavlidis	2
10000000062	Giorgos	Nikolaou	4
10000000063	Evangelia	Athanasiou	2
10000000064	Georgia	Kostopoulos	2
10000000065	Anna	Athanasiou	5
10000000066	Dimitra	Alexiou	2
10000000067	Stavros	Dimitriou	3
10000000068	Christos	Georgiou	5
10000000069	Eleni	Dimitriou	2
10000000071	Dimitra	Nikolaou	5
10000000073	Marios	Papadopoulos	1
10000000074	Michalis	Vasiliou	4
10000000075	Andreas	Vasiliou	5
10000000076	Sofia	Lazarou	2
10000000077	Stavros	Dimitriou	5
10000000078	Michalis	Lazarou	2
