RootDoctorAMKA	RootDoctorName	CurrentDoctorAMKA	CurrentDoctorName	CurrentDoctorRank	Level	SupervisorAMKA
10000000001	Panagiota Petrou	10000000000	Marios Pavlidis	Director	1	NULL
10000000002	Eleni Theodorou	10000000003	Nikos Konstantinou	Consultant	1	10000000000
10000000002	Eleni Theodorou	10000000000	Marios Pavlidis	Director	2	NULL
10000000003	Nikos Konstantinou	10000000000	Marios Pavlidis	Director	1	NULL
10000000004	Marios Theodorou	10000000000	Marios Pavlidis	Director	1	NULL
10000000005	Petros Alexiou	10000000007	Sofia Athanasiou	Registrar	1	10000000000
10000000005	Petros Alexiou	10000000000	Marios Pavlidis	Director	2	NULL
10000000006	Evangelia Vasiliou	10000000000	Marios Pavlidis	Director	1	NULL
10000000007	Sofia Athanasiou	10000000000	Marios Pavlidis	Director	1	NULL
10000000008	Panagiota Georgiou	10000000007	Sofia Athanasiou	Registrar	1	10000000000
10000000008	Panagiota Georgiou	10000000000	Marios Pavlidis	Director	2	NULL
10000000009	Dimitris Athanasiou	10000000000	Marios Pavlidis	Director	1	NULL
10000000010	Michalis Kostopoulos	10000000000	Marios Pavlidis	Director	1	NULL
10000000011	Georgia Sotiriou	10000000017	Stavros Alexiou	Registrar	1	10000000000
10000000011	Georgia Sotiriou	10000000000	Marios Pavlidis	Director	2	NULL
10000000012	Eleni Kostopoulos	10000000000	Marios Pavlidis	Director	1	NULL
10000000013	Dimitra Lazarou	10000000000	Marios Pavlidis	Director	1	NULL
10000000014	Vasilis Athanasiou	10000000000	Marios Pavlidis	Director	1	NULL
10000000015	Vasiliki Athanasiou	10000000001	Panagiota Petrou	Consultant	1	10000000000
10000000015	Vasiliki Athanasiou	10000000000	Marios Pavlidis	Director	2	NULL
10000000016	Dimitris Kostopoulos	10000000000	Marios Pavlidis	Director	1	NULL
10000000017	Stavros Alexiou	10000000000	Marios Pavlidis	Director	1	NULL
10000000018	Spyros Lazarou	10000000000	Marios Pavlidis	Director	1	NULL
10000000019	Michalis Nikolaou	10000000007	Sofia Athanasiou	Registrar	1	10000000000
10000000019	Michalis Nikolaou	10000000000	Marios Pavlidis	Director	2	NULL
10000000021	Ioanna Lazarou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000022	Giorgos Nikolaou	10000000030	Spyros Nikolaou	Registrar	1	10000000020
10000000022	Giorgos Nikolaou	10000000020	Georgia Sotiriou	Director	2	NULL
10000000023	Panagiotis Ioannou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000024	Eleni Ioannou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000025	Vasilis Ioannou	10000000037	Ioanna Pavlidis	Registrar	1	10000000020
10000000025	Vasilis Ioannou	10000000020	Georgia Sotiriou	Director	2	NULL
10000000026	Sofia Lazarou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000027	Petros Theodorou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000028	Marios Alexiou	10000000030	Spyros Nikolaou	Registrar	1	10000000020
10000000028	Marios Alexiou	10000000020	Georgia Sotiriou	Director	2	NULL
10000000029	Michalis Lazarou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000030	Spyros Nikolaou	10000000020	Georgia Sotiriou	Director	1	NULL
10000000031	Michalis Konstantinou	10000000023	Panagiotis Ioannou	Consultant	1	10000000020
