amka,firstname,lastname,hadshift,totalprocedures
10000000000,Marios,Pavlidis,yes,5
10000000001,Panagiota,Petrou,yes,0
10000000003,Nikos,Konstantinou,yes,2
10000000004,Marios,Theodorou,yes,4
10000000006,Evangelia,Vasiliou,yes,7
10000000007,Sofia,Athanasiou,yes,3
10000000008,Panagiota,Georgiou,yes,5
10000000009,Dimitris,Athanasiou,yes,1
10000000010,Michalis,Kostopoulos,yes,1
10000000012,Eleni,Kostopoulos,no,3
10000000013,Dimitra,Lazarou,no,2
10000000014,Vasilis,Athanasiou,no,0
10000000015,Vasiliki,Athanasiou,no,5
10000000016,Dimitris,Kostopoulos,no,2
10000000017,Stavros,Alexiou,no,0
10000000018,Spyros,Lazarou,no,2
10000000019,Michalis,Nikolaou,no,3
